seq,first,last,age,street,city,state,zip,dollar,pick,date
1,Gordon,Johnston,51,Hetab Street,Awuubatu,IN,15247,$262.68,BLUE,09/07/1926
2,Lida,Banks,38,Ciglo Circle,Nijkawcob,CA,05292,$4408.71,RED,05/13/1936
3,Louisa,Ford,51,Neak Glen,Bebreha,OK,84126,$3885.80,WHITE,06/04/1934
4,Kathryn,Ramirez,47,Wimol Center,Wisbozgu,MI,00306,$7167.82,WHITE,01/16/2011
5,Elsie,Lloyd,31,Goen Manor,Owgogkut,MT,10259,$7918.32,WHITE,08/24/1917
6,Stephen,Wagner,52,Enmet Loop,Arivimij,MT,86601,$6331.44,YELLOW,10/13/2054
7,Sadie,Francis,63,Ciugu Ridge,Tovokite,MA,97094,$4714.33,GREEN,05/04/2049
8,Adelaide,Martin,34,Foba Drive,Jaznait,NC,55785,$7038.98,WHITE,10/25/1946
9,Bertie,Blair,38,Jemvik Path,Fomakpu,OK,87260,$3621.76,GREEN,09/20/1946
10,Marc,Butler,24,Wilfo Drive,Zonowo,MT,57721,$7543.23,GREEN,12/01/1952
11,Jimmy,Little,60,Dobibi Turnpike,Locoit,WI,10830,$937.46,RED,10/13/2068
12,Flora,Gutierrez,34,Zevon Parkway,Fadmante,AK,49469,$2701.61,BLUE,07/06/2047
13,Keith,Lawrence,47,Bupuv Key,Wurhedhal,FL,35685,$5513.68,BLUE,11/26/1997
14,Lizzie,Burns,48,Kitpez Center,Mumnibla,MD,72339,$8549.92,BLUE,10/10/1957
15,Lucy,Roberts,29,Odvoz Trail,Bociut,AK,45384,$8736.33,WHITE,08/05/2058
16,Ellen,Arnold,35,Hewmof Street,Rojakrek,ID,75837,$6411.31,RED,05/25/2032
17,Lucille,Pearson,51,Idut Trail,Mopveva,WA,78705,$7706.46,BLUE,03/05/2049
18,Harriett,Sparks,57,Pasocu Heights,Lijaso,MA,86587,$8105.19,RED,05/27/1968
19,Jose,Cross,62,Mogku Lane,Mujubzet,OK,59867,$2638.50,YELLOW,09/13/2046
20,Philip,Mendez,36,Ofti River,Rebewsap,MN,01907,$4257.16,WHITE,10/05/1975
21,Hulda,Coleman,23,Igojak Turnpike,Widovsok,SC,40484,$166.41,GREEN,08/09/1987
22,Jim,Jacobs,50,Tomu Path,Haerbuv,VA,73408,$4963.64,GREEN,10/21/1917
23,Jesse,Jimenez,19,Mojdor River,Josvega,GA,99104,$7130.06,GREEN,09/12/2017
24,Willie,Scott,64,Igtu Path,Wevuwwub,NV,29531,$464.06,YELLOW,01/01/2063
25,Christian,Peterson,20,Afpi Avenue,Julmipgo,IA,52501,$124.68,BLUE,11/02/2015
26,Louise,Bass,54,Otiro Lane,Igazji,WI,02376,$9849.60,GREEN,06/28/1938
27,Marian,Harris,31,Sikwi Glen,Sipofop,ND,09309,$955.19,BLUE,03/03/1913
